epoch,accuracy,auc,auc_1,loss,precision,precision_1,recall,recall_1,val_accuracy,val_auc,val_auc_1,val_loss,val_precision,val_precision_1,val_recall,val_recall_1,val_weighted_accuracy,weighted_accuracy
0,0.6819475293159485,0.8362692594528198,0.8362692594528198,42.95590591430664,0.6821773648262024,0.6821773648262024,0.6818145513534546,0.6818145513534546,0.6306099891662598,0.8191758394241333,0.8191758394241333,21.5363712310791,0.630821704864502,0.630821704864502,0.6305480003356934,0.6305480003356934,0.6306099891662598,0.6819475293159485
1,0.7319914102554321,0.8659006953239441,0.8659006953239441,13.286643981933594,0.732286810874939,0.732286810874939,0.7318584322929382,0.7318584322929382,0.7441110610961914,0.8768569827079773,0.8768569827079773,10.856027603149414,0.7443693280220032,0.7443693280220032,0.7436771392822266,0.7436771392822266,0.7441110610961914,0.7319914102554321
2,0.7564549446105957,0.8809419274330139,0.8809419274330139,9.643926620483398,0.7567373514175415,0.7567373514175415,0.7563751339912415,0.7563751339912415,0.6612323522567749,0.8305685520172119,0.8305685520172119,12.63166618347168,0.6616625189781189,0.6616625189781189,0.6611703634262085,0.6611703634262085,0.6612323522567749,0.7564549446105957
3,0.7718244194984436,0.8876503109931946,0.8876503109931946,9.480375289916992,0.771990954875946,0.771990954875946,0.7717446088790894,0.7717446088790894,0.762025773525238,0.8803806900978088,0.8803806900978088,13.923666954040527,0.7622000575065613,0.7622000575065613,0.7619637846946716,0.7619637846946716,0.762025773525238,0.7718244194984436
4,0.7857047915458679,0.8952867984771729,0.8952867984771729,10.042500495910645,0.7859175801277161,0.7859175801277161,0.7856250405311584,0.7856250405311584,0.7829159498214722,0.8928564190864563,0.8928564190864563,9.750645637512207,0.7828755378723145,0.7828755378723145,0.782729983329773,0.782729983329773,0.7829159498214722,0.7857047915458679
5,0.7871406674385071,0.8946736454963684,0.8946736454963684,9.800395965576172,0.7873958945274353,0.7873958945274353,0.7870609164237976,0.7870609164237976,0.690924882888794,0.8424345254898071,0.8424345254898071,14.030303001403809,0.6911007761955261,0.6911007761955261,0.6908009052276611,0.6908009052276611,0.690924882888794,0.7871406674385071
6,0.8129869699478149,0.9094115495681763,0.9094115495681763,6.676523685455322,0.8132198452949524,0.8132198452949524,0.8129603266716003,0.8129603266716003,0.7581204771995544,0.878033459186554,0.878033459186554,9.36659049987793,0.7582935690879822,0.7582935690879822,0.758058488368988,0.758058488368988,0.7581204771995544,0.8129869699478149
7,0.8141835331916809,0.909664511680603,0.909664511680603,6.971601963043213,0.8142986297607422,0.8142986297607422,0.8141037821769714,0.8141037821769714,0.7442970275878906,0.8714567422866821,0.8714567422866821,11.05510139465332,0.7443735003471375,0.7443735003471375,0.7442350387573242,0.7442350387573242,0.7442970275878906,0.8141835331916809
8,0.8203526139259338,0.912984311580658,0.912984311580658,6.850991249084473,0.8205251097679138,0.8205251097679138,0.8202196359634399,0.8202196359634399,0.7604140639305115,0.8749141693115234,0.8749141693115234,12.545026779174805,0.7605878114700317,0.7605878114700317,0.7603520750999451,0.7603520750999451,0.7604140639305115,0.8203526139259338
9,0.8285425305366516,0.917530357837677,0.917530357837677,5.870472431182861,0.82863450050354,0.82863450050354,0.8284361958503723,0.8284361958503723,0.7745474576950073,0.8839849829673767,0.8839849829673767,12.0264310836792,0.7747736573219299,0.7747736573219299,0.7744854688644409,0.7744854688644409,0.7745474576950073,0.8285425305366516
10,0.8404286503791809,0.9240804314613342,0.9240804314613342,5.286103248596191,0.8407150506973267,0.8407150506973267,0.8404020667076111,0.8404020667076111,0.7843416929244995,0.8939998149871826,0.8939998149871826,10.298898696899414,0.7843368053436279,0.7843368053436279,0.7840937376022339,0.7840937376022339,0.7843416929244995,0.8404286503791809
11,0.8362538814544678,0.9197620153427124,0.9197620153427124,6.628407001495361,0.8364855051040649,0.8364855051040649,0.8361741304397583,0.8361741304397583,0.7278080582618713,0.8666146993637085,0.8666146993637085,11.560944557189941,0.7279211282730103,0.7279211282730103,0.7275601029396057,0.7275601029396057,0.7278080582618713,0.8362538814544678
