epoch,accuracy,auc,auc_1,loss,precision,precision_1,recall,recall_1,val_accuracy,val_auc,val_auc_1,val_loss,val_precision,val_precision_1,val_recall,val_recall_1,val_weighted_accuracy,weighted_accuracy
0,0.7400484085083008,0.9258908629417419,0.9258908629417419,2.2611870765686035,0.76320481300354,0.76320481300354,0.7284814119338989,0.7284814119338989,0.7358666062355042,0.9301964044570923,0.9301964044570923,1.2945302724838257,0.7494115233421326,0.7494115233421326,0.7302256226539612,0.7302256226539612,0.7358666062355042,0.7400484085083008
1,0.8185710310935974,0.9685731530189514,0.9685731530189514,0.7127100229263306,0.8433694839477539,0.8433694839477539,0.8047969937324524,0.8047969937324524,0.7923381924629211,0.9571123719215393,0.9571123719215393,0.9054825305938721,0.8212032318115234,0.8212032318115234,0.7826679944992065,0.7826679944992065,0.7923381924629211,0.8185710310935974
2,0.8427952527999878,0.9747614860534668,0.9747614860534668,0.6503051519393921,0.8632346391677856,0.8632346391677856,0.8311218619346619,0.8311218619346619,0.7627696394920349,0.9420743584632874,0.9420743584632874,1.5186316967010498,0.7884076833724976,0.7884076833724976,0.7504339218139648,0.7504339218139648,0.7627696394920349,0.8427952527999878
3,0.8763793706893921,0.9855540990829468,0.9855540990829468,0.4493931531906128,0.8943348526954651,0.8943348526954651,0.8655835390090942,0.8655835390090942,0.7338829636573792,0.9481366872787476,0.9481366872787476,1.037941813468933,0.757294237613678,0.757294237613678,0.7175799608230591,0.7175799608230591,0.7338829636573792,0.8763793706893921
4,0.9019863605499268,0.9916698932647705,0.9916698932647705,0.30757275223731995,0.9173214435577393,0.9173214435577393,0.8909777402877808,0.8909777402877808,0.8125464916229248,0.9569334983825684,0.9569334983825684,0.9420677423477173,0.8323717713356018,0.8323717713356018,0.8049218654632568,0.8049218654632568,0.8125464916229248,0.9019863605499268
5,0.920068085193634,0.9942383170127869,0.9942383170127869,0.24546608328819275,0.9332824945449829,0.9332824945449829,0.9109474420547485,0.9109474420547485,0.8197991847991943,0.9567214250564575,0.9567214250564575,0.9391139149665833,0.8375303745269775,0.8375303745269775,0.8122985363006592,0.8122985363006592,0.8197991847991943,0.920068085193634
6,0.9097774624824524,0.9906131029129028,0.9906131029129028,0.31609851121902466,0.9200379252433777,0.9200379252433777,0.9028638005256653,0.9028638005256653,0.7972353100776672,0.9508714079856873,0.9508714079856873,1.0672909021377563,0.8112751245498657,0.8112751245498657,0.7903545498847961,0.7903545498847961,0.7972353100776672,0.9097774624824524
7,0.9418991208076477,0.9965440034866333,0.9965440034866333,0.17758247256278992,0.9510341882705688,0.9510341882705688,0.935304582118988,0.935304582118988,0.802380383014679,0.9503437876701355,0.9503437876701355,1.0419540405273438,0.814140796661377,0.814140796661377,0.7958715558052063,0.7958715558052063,0.802380383014679,0.9418991208076477
8,0.9307841658592224,0.9937818050384521,0.9937818050384521,0.23266778886318207,0.938912570476532,0.938912570476532,0.9257053136825562,0.9257053136825562,0.8269898295402527,0.9549893140792847,0.9549893140792847,0.9753797054290771,0.8345794081687927,0.8345794081687927,0.8234564661979675,0.8234564661979675,0.8269898295402527,0.9307841658592224
9,0.9454888701438904,0.9955454468727112,0.9955454468727112,0.18286463618278503,0.9535410404205322,0.9535410404205322,0.9408886432647705,0.9408886432647705,0.814406156539917,0.9502871036529541,0.9502871036529541,1.1200635433197021,0.8254269361495972,0.8254269361495972,0.8089511394500732,0.8089511394500732,0.814406156539917,0.9454888701438904
