epoch,accuracy,auc,auc_1,loss,precision,precision_1,recall,recall_1,val_accuracy,val_auc,val_auc_1,val_loss,val_precision,val_precision_1,val_recall,val_recall_1,val_weighted_accuracy,weighted_accuracy
0,0.5977610349655151,0.7792915105819702,0.7792915105819702,830.4360961914062,0.5977610349655151,0.5977610349655151,0.5977610349655151,0.5977610349655151,0.7358666062355042,0.8548402190208435,0.8548402190208435,381.71221923828125,0.7358666062355042,0.7358666062355042,0.7358666062355042,0.7358666062355042,0.7358666062355042,0.5977610349655151
1,0.62007075548172,0.7920629382133484,0.7920629382133484,386.08465576171875,0.62007075548172,0.62007075548172,0.62007075548172,0.62007075548172,0.6881353855133057,0.8291899561882019,0.8291899561882019,379.9432373046875,0.6881353855133057,0.6881353855133057,0.6881353855133057,0.6881353855133057,0.6881353855133057,0.62007075548172
2,0.6198314428329468,0.7913399338722229,0.7913399338722229,404.1269226074219,0.6198314428329468,0.6198314428329468,0.6198314428329468,0.6198314428329468,0.3575502038002014,0.6476100087165833,0.6476100087165833,802.2536010742188,0.3575502038002014,0.3575502038002014,0.3575502038002014,0.3575502038002014,0.3575502038002014,0.6198314428329468
3,0.6340042948722839,0.8000715374946594,0.8000715374946594,385.04400634765625,0.6340042948722839,0.6340042948722839,0.6340042948722839,0.6340042948722839,0.7510538101196289,0.8635968565940857,0.8635968565940857,303.7471618652344,0.7510538101196289,0.7510538101196289,0.7510538101196289,0.7510538101196289,0.7510538101196289,0.6340042948722839
4,0.6261334419250488,0.7957553863525391,0.7957553863525391,365.5393981933594,0.6261334419250488,0.6261334419250488,0.6261334419250488,0.6261334419250488,0.6326556205749512,0.8019140362739563,0.8019140362739563,245.81687927246094,0.6326556205749512,0.6326556205749512,0.6326556205749512,0.6326556205749512,0.6326556205749512,0.6261334419250488
5,0.6242454648017883,0.7945908904075623,0.7945908904075623,355.38775634765625,0.6242454648017883,0.6242454648017883,0.6242454648017883,0.6242454648017883,0.7433052062988281,0.8589932918548584,0.8589932918548584,256.4974365234375,0.7433052062988281,0.7433052062988281,0.7433052062988281,0.7433052062988281,0.7433052062988281,0.6242454648017883
6,0.631371796131134,0.7982015013694763,0.7982015013694763,365.4057922363281,0.631371796131134,0.631371796131134,0.631371796131134,0.631371796131134,0.5609967708587646,0.7633480429649353,0.7633480429649353,229.06246948242188,0.5610315799713135,0.5610315799713135,0.5609967708587646,0.5609967708587646,0.5609967708587646,0.631371796131134
7,0.6299359202384949,0.7972698211669922,0.7972698211669922,360.74371337890625,0.6299694180488586,0.6299694180488586,0.6299359202384949,0.6299359202384949,0.7577486038208008,0.865845263004303,0.865845263004303,329.91693115234375,0.7577486038208008,0.7577486038208008,0.7577486038208008,0.7577486038208008,0.7577486038208008,0.6299359202384949
8,0.6438961029052734,0.8056800365447998,0.8056800365447998,301.7164306640625,0.6439303159713745,0.6439303159713745,0.6438961029052734,0.6438961029052734,0.17641954123973846,0.5476979613304138,0.5476979613304138,333.1730041503906,0.17641954123973846,0.17641954123973846,0.17641954123973846,0.17641954123973846,0.17641954123973846,0.6438961029052734
9,0.632036566734314,0.7989832162857056,0.7989832162857056,376.20452880859375,0.6320533752441406,0.6320533752441406,0.632036566734314,0.632036566734314,0.7564468383789062,0.8650347590446472,0.8650347590446472,532.68017578125,0.7564468383789062,0.7564468383789062,0.7564468383789062,0.7564468383789062,0.7564468383789062,0.632036566734314
10,0.6284999847412109,0.7965768575668335,0.7965768575668335,419.93890380859375,0.6285167336463928,0.6285167336463928,0.6284999847412109,0.6284999847412109,0.7547111511230469,0.8643600940704346,0.8643600940704346,503.38763427734375,0.7547111511230469,0.7547111511230469,0.7547111511230469,0.7547111511230469,0.7547111511230469,0.6284999847412109
11,0.6418485641479492,0.804599940776825,0.804599940776825,280.4413146972656,0.6418485641479492,0.6418485641479492,0.6418485641479492,0.6418485641479492,0.6906149387359619,0.8320626616477966,0.8320626616477966,394.89239501953125,0.6906149387359619,0.6906149387359619,0.6906149387359619,0.6906149387359619,0.6906149387359619,0.6418485641479492
12,0.6376738548278809,0.8020755052566528,0.8020755052566528,377.92529296875,0.6376738548278809,0.6376738548278809,0.6376738548278809,0.6376738548278809,0.5808331370353699,0.7722533345222473,0.7722533345222473,376.62548828125,0.5808331370353699,0.5808331370353699,0.5808331370353699,0.5808331370353699,0.5808331370353699,0.6376738548278809
13,0.6382056474685669,0.8020352125167847,0.8020352125167847,344.09765625,0.6382226347923279,0.6382226347923279,0.6382056474685669,0.6382056474685669,0.7239028215408325,0.849458634853363,0.849458634853363,308.26873779296875,0.7239028215408325,0.7239028215408325,0.7239028215408325,0.7239028215408325,0.7239028215408325,0.6382056474685669
14,0.6446672081947327,0.8056430816650391,0.8056430816650391,299.79522705078125,0.6446672081947327,0.6446672081947327,0.6446672081947327,0.6446672081947327,0.6957599520683289,0.833610475063324,0.833610475063324,447.6585693359375,0.6957599520683289,0.6957599520683289,0.6957599520683289,0.6957599520683289,0.6957599520683289,0.6446672081947327
15,0.6430186033248901,0.8049735426902771,0.8049735426902771,256.223388671875,0.6430186033248901,0.6430186033248901,0.6430186033248901,0.6430186033248901,0.7378502488136292,0.8556129932403564,0.8556129932403564,571.5341186523438,0.7378502488136292,0.7378502488136292,0.7378502488136292,0.7378502488136292,0.7378502488136292,0.6430186033248901
16,0.6464222073554993,0.8067259788513184,0.8067259788513184,312.6355285644531,0.6464393734931946,0.6464393734931946,0.6464222073554993,0.6464222073554993,0.5954004526138306,0.7794776558876038,0.7794776558876038,287.926025390625,0.5954004526138306,0.5954004526138306,0.5954004526138306,0.5954004526138306,0.5954004526138306,0.6464222073554993
17,0.640545666217804,0.8033774495124817,0.8033774495124817,329.8433837890625,0.640545666217804,0.640545666217804,0.640545666217804,0.640545666217804,0.7655591368675232,0.8699215054512024,0.8699215054512024,331.4381103515625,0.7655591368675232,0.7655591368675232,0.7655591368675232,0.7655591368675232,0.7655591368675232,0.640545666217804
18,0.6486558318138123,0.8078316450119019,0.8078316450119019,273.34521484375,0.6486730575561523,0.6486730575561523,0.6486558318138123,0.6486558318138123,0.5279568433761597,0.7421209216117859,0.7421209216117859,197.8007049560547,0.5279568433761597,0.5279568433761597,0.5279568433761597,0.5279568433761597,0.5279568433761597,0.6486558318138123
19,0.6361315846443176,0.8010606169700623,0.8010606169700623,340.48016357421875,0.6361485123634338,0.6361485123634338,0.6361315846443176,0.6361315846443176,0.7563228607177734,0.8651659488677979,0.8651659488677979,366.938720703125,0.7563228607177734,0.7563228607177734,0.7563228607177734,0.7563228607177734,0.7563228607177734,0.6361315846443176
20,0.6470072269439697,0.806669294834137,0.806669294834137,362.1220397949219,0.6469978094100952,0.6469978094100952,0.6469806432723999,0.6469806432723999,0.724584698677063,0.8496804237365723,0.8496804237365723,306.975341796875,0.724584698677063,0.724584698677063,0.724584698677063,0.724584698677063,0.724584698677063,0.6470072269439697
21,0.6409977078437805,0.8032642006874084,0.8032642006874084,394.3359069824219,0.6410147547721863,0.6410147547721863,0.6409977078437805,0.6409977078437805,0.700967013835907,0.8365478515625,0.8365478515625,122.27814483642578,0.700967013835907,0.700967013835907,0.700967013835907,0.700967013835907,0.700967013835907,0.6409977078437805
22,0.6470869779586792,0.8070756196975708,0.8070756196975708,273.458740234375,0.6470869779586792,0.6470869779586792,0.6470869779586792,0.6470869779586792,0.7383461594581604,0.8567150831222534,0.8567150831222534,218.32647705078125,0.7383461594581604,0.7383461594581604,0.7383461594581604,0.7383461594581604,0.7383461594581604,0.6470869779586792
23,0.6496928930282593,0.8088112473487854,0.8088112473487854,287.94183349609375,0.6497101783752441,0.6497101783752441,0.6496928930282593,0.6496928930282593,0.6157947182655334,0.7910155653953552,0.7910155653953552,244.87582397460938,0.6157947182655334,0.6157947182655334,0.6157947182655334,0.6157947182655334,0.6157947182655334,0.6496928930282593
24,0.6515010595321655,0.8096365332603455,0.8096365332603455,282.242431640625,0.6515010595321655,0.6515010595321655,0.6515010595321655,0.6515010595321655,0.5212621092796326,0.7393593788146973,0.7393593788146973,485.29180908203125,0.5212944149971008,0.5212944149971008,0.5212621092796326,0.5212621092796326,0.5212621092796326,0.6515010595321655
25,0.6458638310432434,0.8060805201530457,0.8060805201530457,291.5802001953125,0.6458544135093689,0.6458544135093689,0.6458371877670288,0.6458371877670288,0.6873915195465088,0.8297986388206482,0.8297986388206482,373.1318054199219,0.6873915195465088,0.6873915195465088,0.6873915195465088,0.6873915195465088,0.6873915195465088,0.6458638310432434
26,0.6487622261047363,0.8078296780586243,0.8078296780586243,312.4208984375,0.6487622261047363,0.6487622261047363,0.6487622261047363,0.6487622261047363,0.6484626531600952,0.8078475594520569,0.8078475594520569,259.0642395019531,0.6484626531600952,0.6484626531600952,0.6484626531600952,0.6484626531600952,0.6484626531600952,0.6487622261047363
27,0.6436301469802856,0.804394006729126,0.804394006729126,372.1073913574219,0.6436301469802856,0.6436301469802856,0.6436301469802856,0.6436301469802856,0.4493553042411804,0.7000554800033569,0.7000554800033569,200.314208984375,0.449349045753479,0.449349045753479,0.449293315410614,0.449293315410614,0.4493553042411804,0.6436301469802856
28,0.6545590162277222,0.8112958669662476,0.8112958669662476,289.855224609375,0.6545590162277222,0.6545590162277222,0.6545590162277222,0.6545590162277222,0.6277585029602051,0.7980673909187317,0.7980673909187317,158.43194580078125,0.6277585029602051,0.6277585029602051,0.6277585029602051,0.6277585029602051,0.6277585029602051,0.6545590162277222
29,0.6462626457214355,0.8063283562660217,0.8063283562660217,279.7153625488281,0.6462626457214355,0.6462626457214355,0.6462626457214355,0.6462626457214355,0.7520456314086914,0.8639470338821411,0.8639470338821411,331.0350341796875,0.7520456314086914,0.7520456314086914,0.7520456314086914,0.7520456314086914,0.7520456314086914,0.6462626457214355
30,0.6502512693405151,0.8087013363838196,0.8087013363838196,304.605712890625,0.6502685546875,0.6502685546875,0.6502512693405151,0.6502512693405151,0.7601661086082458,0.8677980303764343,0.8677980303764343,318.65777587890625,0.7601661086082458,0.7601661086082458,0.7601661086082458,0.7601661086082458,0.7601661086082458,0.6502512693405151
31,0.656819224357605,0.8124198913574219,0.8124198913574219,304.3556213378906,0.6568366885185242,0.6568366885185242,0.656819224357605,0.656819224357605,0.7426233291625977,0.8591872453689575,0.8591872453689575,295.6033630371094,0.7426233291625977,0.7426233291625977,0.7426233291625977,0.7426233291625977,0.7426233291625977,0.656819224357605
32,0.6518733501434326,0.8094048500061035,0.8094048500061035,284.33233642578125,0.6518733501434326,0.6518733501434326,0.6518733501434326,0.6518733501434326,0.7370443940162659,0.8562129735946655,0.8562129735946655,325.41339111328125,0.7370443940162659,0.7370443940162659,0.7370443940162659,0.7370443940162659,0.7370443940162659,0.6518733501434326
33,0.6487888097763062,0.8079541325569153,0.8079541325569153,323.2178039550781,0.6487966775894165,0.6487966775894165,0.6487622261047363,0.6487622261047363,0.5515745282173157,0.7561370730400085,0.7561370730400085,364.9010009765625,0.5515466928482056,0.5515466928482056,0.5515125393867493,0.5515125393867493,0.5515745282173157,0.6487888097763062
34,0.6528571844100952,0.8101193308830261,0.8101193308830261,272.76068115234375,0.6528918743133545,0.6528918743133545,0.6528571844100952,0.6528571844100952,0.6922266483306885,0.8323028683662415,0.8323028683662415,275.0585632324219,0.6922695636749268,0.6922695636749268,0.6922266483306885,0.6922266483306885,0.6922266483306885,0.6528571844100952
35,0.6562342047691345,0.8120753169059753,0.8120753169059753,302.6089782714844,0.6562342047691345,0.6562342047691345,0.6562342047691345,0.6562342047691345,0.6343912482261658,0.8027751445770264,0.8027751445770264,284.21832275390625,0.6343912482261658,0.6343912482261658,0.6343912482261658,0.6343912482261658,0.6343912482261658,0.6562342047691345
36,0.6540005803108215,0.8108189702033997,0.8108189702033997,271.11749267578125,0.6540005803108215,0.6540005803108215,0.6540005803108215,0.6540005803108215,0.7715100646018982,0.8733551502227783,0.8733551502227783,339.12841796875,0.7715100646018982,0.7715100646018982,0.7715100646018982,0.7715100646018982,0.7715100646018982,0.6540005803108215
37,0.6523253917694092,0.8096693158149719,0.8096693158149719,292.1429443359375,0.6523253917694092,0.6523253917694092,0.6523253917694092,0.6523253917694092,0.5044631958007812,0.7301571369171143,0.7301571369171143,235.9737548828125,0.5044631958007812,0.5044631958007812,0.5044631958007812,0.5044631958007812,0.5044631958007812,0.6523253917694092
38,0.6559683084487915,0.8119837641716003,0.8119837641716003,331.1960754394531,0.6559857726097107,0.6559857726097107,0.6559683084487915,0.6559683084487915,0.4842548966407776,0.7174531817436218,0.7174531817436218,566.9798583984375,0.4842548966407776,0.4842548966407776,0.4842548966407776,0.4842548966407776,0.4842548966407776,0.6559683084487915
